user,date,channel,ts,text,thread_ts,reply_count,reaction_name,reaction_count
devangi,2026-03-02,#project-assignments,1772441700.204792,Moving deepak to AI Workshops from next week,,0,,0
atirek,2026-03-02,#project-assignments,1772428860.674303,sankalp is joining AI Workshops starting 2026-03-02,,0,,0
atirek,2026-03-02,#project-assignments,1772434200.448384,Can we get sumit on AI Workshops? Client needs more bandwidth,1772434200.448384,1,,0
anand,2026-03-02,#project-assignments,1772451540.144847,Staffing update: sidharth allocated to AI Workshops from 2026-03-02,,0,100,3
devangi,2026-03-02,#project-assignments,1772439000.333891,FYI — vishnu.nair is double-booked on AI Workshops and Entain - Java Upgrade this week,1772439000.333891,4,rocket,3
atirek,2026-03-02,#project-assignments,1772429280.818799,Can we get pranav on AI Workshops? Client needs more bandwidth,,0,,0
anand,2026-03-02,#project-assignments,1772445540.324801,"Confirming pranav on Entain - CRM, effective 2026-03-02",,0,,0
anand,2026-03-02,#project-assignments,1772439480.997835,shreyas.barhanpurkar is joining Universal Ether starting 2026-03-02,,0,,0
anand,2026-03-02,#project-assignments,1772444400.369864,Can we get vineet.singhal on Universal Ether? Client needs more bandwidth,,0,,0
devangi,2026-03-02,#project-assignments,1772425260.256742,"Confirming nupur.banakar on Universal Ether, effective 2026-03-02",1772425260.256742,4,,0
devangi,2026-03-02,#project-assignments,1772429400.796838,Staffing update: vivek.agrawal allocated to Universal Ether from 2026-03-02,1772429400.796838,3,,0
anand,2026-03-02,#project-assignments,1772448240.836369,Moving shreekant to Universal Ether from next week,,0,,0
devangi,2026-03-02,#project-assignments,1772430600.880265,Moving pathik.gandhi to Home Health Notify from next week,,0,,0
anand,2026-03-02,#project-assignments,1772446440.680180,priyanka.pakhale is joining Home Health Notifye starting 2026-03-02,1772446440.680180,5,,0
devangi,2026-03-02,#project-assignments,1772434500.640993,abhimanyu.patil will be rolling off Promobi - Apple Stream by end of month,,0,,0
anand,2026-03-02,#project-assignments,1772440620.629562,"Confirming aditya on Promobi - Apple Stream, effective 2026-03-02",1772440620.629562,5,,0
devangi,2026-03-02,#project-assignments,1772440680.160334,utkarsh.srivastava transitioning from Promobi - PII/PHI Detection to Economist - Ads,1772440680.160334,2,fire,3
devangi,2026-03-02,#project-assignments,1772442480.348903,Can we get ajitem.sahasrabuddhe on Peak XV - Main? Client needs more bandwidth,,0,,0
anand,2026-03-02,#project-assignments,1772446620.769761,Staffing update: saunak.adhikari allocated to Peak XV - Main from 2026-03-02,1772446620.769761,1,,0
atirek,2026-03-02,#project-assignments,1772425800.385573,"Confirming saunak.adhikari on Provus, effective 2026-03-02",1772425800.385573,5,,0
devangi,2026-03-02,#project-assignments,1772447340.871969,Moving aneesh.anil to Peak XV - Sprout Stream from next week,1772447340.871969,4,,0
anand,2026-03-02,#project-assignments,1772445180.848902,mayur.barge is joining Peak XV - Sprout Stream stoarting 2026-03-02,,0,,0
atirek,2026-03-02,#project-assignments,1772448900.421158,"We need someone on Peak XV - Migration Admin Apps, thinking imran",1772448900.421158,5,,0
devangi,2026-03-02,#project-assignments,1772437080.169791,prachi will be rolling off Peak XV - Migration Admin Apps by end of month,,0,,0
devangi,2026-03-02,#project-assignments,1772438940.773697,FYI — shubham.shukla is double-booked on Peak XV - Migration Admin Apps and Economist - Ads this week,,0,,0
anand,2026-03-02,#project-assignments,1772437440.568423,,,0,,0
atirek,2026-03-02,#project-assignments,1772430780.457170,FYI — rahul.dhuri is double-booked on Economist - Ads and Promobi - Apple Stream this week,,0,,0
devangi,2026-03-02,#project-assignments,1772428020.783936,sagar.sahasrabuddhe transitioning from Economist - Ads to Team Beach,,0,,0
atirek,2026-03-02,#project-assignments,1772432640.378388,sagar.sahasrabuddhe will be rolling off Entain - CRM by end of month,,0,,0
anand,2026-03-02,#project-assignments,1772438340.533949,"We need someone on Economist - In Life, thinking santosh.mudavat",1772438340.533949,3,white_check_mark,2
devangi,2026-03-02,#project-assignments,1772421720.954478,,,0,white_check_mark,3
atirek,2026-03-02,#project-assignments,1772437020.898673,saroj is joining Team Beach starting 2026-03-02,,0,,0
atirek,2026-03-02,#project-assignments,1772434620.125283,satyam will be rolling off Team Beach by end of month,,0,,0
atirek,2026-03-02,#project-assignments,1772446800.139979,"Confirming atharva.farkade on Team Beach, effective 2026-03-02",,0,pray,2
devangi,2026-03-02,#project-assignments,1772449740.171891,"Confirming sakshi on Team Beach, effective 2026-03-02",1772449740.171891,5,,0
atirek,2026-03-02,#project-assignments,1772440680.371139,animesh is now full-time on Team Beach,1772440680.371139,3,,0
atirek,2026-03-02,#project-assignments,1772434320.145825,Staffing update: mahesh.lal allocated to Entain - CRM from 2026-03-02,,0,,0
anand,2026-03-02,#project-assignments,1772439420.738421,"Confirming mahesh.lal on Economist - Ads, effective 2026-03-02",,0,raised_hands,4
devangi,2026-03-02,#project-assignments,1772432220.780488,mahesh.lal is now full-time on Economist - In Life,,0,,0
devangi,2026-03-02,#project-assignments,1772429700.540904,"We need someone on Provus, thinking mahesh.lal",,0,,0
devangi,2026-03-02,#project-assignments,1772446620.186390,Can we get abhishek on Entain - CRM? Client needs more bandwidth,,0,,0
